Date,Merchant,Amount,Category
2026-03-01,TechCorp India Pvt Ltd (Salary),95000.0,cat-income
2026-03-01,Truffles,-891.0,cat-dining
2026-03-01,Nykaa,-2593.0,cat-shopping
2026-03-02,Prestige Apartments Rent,-25000.0,cat-housing
2026-03-03,Rameshwaram Cafe,-1399.0,cat-dining
2026-03-03,Hotstar,-899.0,cat-subscriptions
2026-03-04,Spotify Premium,-499.0,cat-subscriptions
2026-03-04,Nature's Basket,-1606.0,cat-groceries
2026-03-05,JioFiber Broadband,-1178.0,cat-utilities
2026-03-05,BookMyShow,-436.0,cat-entertainment
2026-03-06,Myntra,-2398.0,cat-shopping
2026-03-06,Shell Petrol,-545.0,cat-transport
2026-03-06,Myntra,-1645.0,cat-shopping
2026-03-07,Spotify Premium,-499.0,cat-subscriptions
2026-03-07,Third Wave Coffee,-1131.0,cat-dining
2026-03-07,Reliance Fresh,-1596.0,cat-groceries
2026-03-08,Zomato,-471.0,cat-dining
2026-03-09,Steam Games,-348.0,cat-entertainment
2026-03-09,Steam Games,-1084.0,cat-entertainment
2026-03-10,Cult.fit Gym,-1500.0,cat-health
2026-03-10,Nykaa,-1548.0,cat-shopping
2026-03-10,Amazon.in,-3833.0,cat-shopping
2026-03-11,Shell Petrol,-539.0,cat-transport
2026-03-11,Reliance Fresh,-300.0,cat-groceries
2026-03-13,PVR Cinemas,-328.0,cat-entertainment
2026-03-13,Rameshwaram Cafe,-691.0,cat-dining
2026-03-14,Hotstar,-1499.0,cat-subscriptions
2026-03-15,BESCOM Electricity Bill,-1946.0,cat-utilities
2026-03-15,Nykaa,-530.0,cat-shopping
2026-03-15,Swiggy,-1441.0,cat-dining
2026-03-15,Swiggy,-528.0,cat-dining
2026-03-17,Amazon.in,-2414.0,cat-shopping
2026-03-17,BookMyShow,-385.0,cat-entertainment
2026-03-17,Namma Metro,-251.0,cat-transport
2026-03-18,Third Wave Coffee,-578.0,cat-dining
2026-03-20,Indian Oil,-528.0,cat-transport
2026-03-20,Amazon.in,-2115.0,cat-shopping
2026-03-20,DMart,-530.0,cat-groceries
2026-03-21,Reliance Fresh,-1656.0,cat-groceries
2026-03-21,PVR Cinemas,-476.0,cat-entertainment
2026-03-23,Decathlon,-617.0,cat-shopping
2026-03-25,Flipkart,-757.0,cat-shopping
2026-03-26,Myntra,-3646.0,cat-shopping
2026-03-26,Hotstar,-899.0,cat-subscriptions
2026-03-28,Reliance Fresh,-2072.0,cat-groceries
2026-03-28,DMart,-403.0,cat-groceries
2026-03-28,BookMyShow,-1120.0,cat-entertainment
2026-03-31,Steam Games,-737.0,cat-entertainment
2026-03-31,Instamart,-2485.0,cat-groceries
2026-04-01,TechCorp India Pvt Ltd (Salary),95000.0,cat-income
2026-04-01,Hotstar,-1499.0,cat-subscriptions
2026-04-02,Prestige Apartments Rent,-25000.0,cat-housing
2026-04-04,Shell Petrol,-331.0,cat-transport
2026-04-04,Indian Oil,-767.0,cat-transport
2026-04-04,Amazon.in,-4185.0,cat-shopping
2026-04-05,JioFiber Broadband,-1178.0,cat-utilities
2026-04-05,BookMyShow,-1061.0,cat-entertainment
2026-04-05,Nykaa,-3432.0,cat-shopping
2026-04-05,Shell Petrol,-246.0,cat-transport
2026-04-07,Ola Cabs,-582.0,cat-transport
2026-04-07,Nykaa,-1281.0,cat-shopping
2026-04-07,Reliance Fresh,-2429.0,cat-groceries
2026-04-08,Myntra,-2213.0,cat-shopping
2026-04-08,PVR Cinemas,-1122.0,cat-entertainment
2026-04-09,Spotify Premium,-499.0,cat-subscriptions
